"sample","ch4_ppm","co2_ppm","n2o_ppm","o2_ar_percent","ar_percent","o2_percent","n2_percent"
"SG23.0744",640533.696187445,4068.44707600952,0.303602855480913,NA,0.93,2.23490281442415,23.6571571033744
"SG23.0766",590427.202184555,5342.77374394892,0.0935429149365493,NA,0.93,0.640554423111361,24.8539779931273
"SG23.0763",585388.073555065,6239.21909765824,0.225433785543391,NA,0.93,0.896381315207615,21.2216205152213
"SG23.0768",534189.550586903,5854.49150243681,0.24249208608668,NA,0.93,2.47649894279299,25.5276935368838
"SG23.0767",558987.322285913,6457.04772090753,0.222546312795177,NA,0.93,0.90125899747461,21.2284976932012
"SG23.0774",482403.208338802,7258.14608812751,0.07153889183991,NA,0.93,0.552605286152865,33.0013147689138
"SG23.0779",344409.909189413,6474.74786200713,-0.00929553755750176,NA,0.93,0.0538999883907825,55.0232621585752
"SG23.0748",526256.329748929,8569.79333659295,0.0763069237626003,NA,0.93,0.535168829182963,25.9858895181556
"SG23.0754",162775.480840246,4539.08714854928,0.172481977606929,NA,0.93,2.56581835647082,76.6456934879145
"SG23.0753",483226.321773175,6335.98543508481,0.099436320853415,NA,0.93,0.531862565172088,34.0252466029388
"SG23.0758",405523.758045341,6054.95394951291,0.0794905475619122,NA,0.93,0.612507750076141,46.4811593733038
"SG23.0749",531658.977952939,8098.31835173717,0.0836514698298501,NA,0.93,0.607969494152467,25.6907546254753
"SG23.0772",473038.221738887,7107.52790631773,0.102516291784842,NA,0.93,0.843996516221616,33.3079489429141
"SG23.0756",160993.936253352,4393.72891433042,0.189866044306427,NA,0.93,2.66405085449736,76.5976252125223
"SG23.0762",181836.933441481,3043.84268179132,0.232378527691657,NA,0.93,4.70803857994316,73.2908381382171
"SG23.0773",485694.367523846,7061.35725524189,0.093380031858445,NA,0.93,0.773659835077707,33.670512166672
"SG23.0757",395519.228247026,6234.46009745694,0.0622249412828534,NA,0.93,0.517920942403796,46.3388577661495
"SG23.0743",523279.857770663,4105.68416530396,0.314975055843106,NA,0.93,2.27254142449473,23.5988850150724
"SG23.0765",516711.437345797,5263.12310900073,0.10301974857171,NA,0.93,0.731206399470383,24.9802381828075
"SG23.0769",495843.492282612,6101.45856551515,0.106070104398028,NA,0.93,0.624186530555621,28.1853229901956
"SG23.0745",505654.942281825,5200.25421160452,0.124979349010685,NA,0.93,0.579633680158121,31.9437167496616
"SG23.0751",471078.731671056,6315.61357457396,0.0771361467056769,NA,0.93,0.58373193897008,34.1110353998791
"SG23.0771",500764.446767102,6365.29085737707,0.102368216259293,NA,0.93,0.622715683067893,28.1508891199845
"SG23.0770",496689.251138042,6271.86416921457,0.110379102191515,NA,0.93,0.590633607950957,28.0389350598462
"SG23.0747",473724.907838727,5392.86848291005,0.106810482025775,NA,0.93,0.586522777792949,31.8674040642401
"SG23.0752",458691.251753308,6050.11145808,0.0906406346357812,NA,0.93,0.646123529411049,33.9800971298287
"SG23.0778",333215.932655343,4573.73600966406,0.225848397014929,NA,0.93,0.352343743592997,54.6742453760941
